station_code,station_name,accumulated_rain_mm,time_window_hours,actual_period_hours,total_readings,avg_rain_per_reading,max_single_reading,first_reading,last_reading,period_start,period_end
60001,APRHi - Cno Ascochinga-La Cumbre,62.75,72,71.83,409,0.153,1.25,2025-09-18 14:26:04-03:00,2025-09-21 07:43:12-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
60002,APRHi - Cerro Obero (Cerro Uritorco Sur),61.8,72,71.83,425,0.145,1.0,2025-09-18 11:47:06-03:00,2025-09-21 07:37:29-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30070,Canals BioagroindustriaCba,49.8,72,71.83,431,0.116,11.2,2025-09-18 10:40:00-03:00,2025-09-21 10:20:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30055,Pampayasta Norte BioagroindustriaCba,49.2,72,71.83,418,0.118,20.6,2025-09-18 10:40:00-03:00,2025-09-21 10:20:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30296,Aero Club Ucacha BioagroindustriaCba,46.2,72,71.83,427,0.108,16.0,2025-09-18 10:40:00-03:00,2025-09-21 10:20:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30498,APRHI- La Rinconada,44.0,72,71.83,432,0.102,0.6,2025-09-18 10:40:00-03:00,2025-09-20 05:00:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30112,Brinkmann BioagroindustriaCba,35.56,72,71.83,431,0.083,11.76,2025-09-18 10:40:00-03:00,2025-09-21 10:20:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30285,Colonia Vignaud BioagroindustriaCba,35.4,72,71.83,428,0.083,13.6,2025-09-18 10:40:00-03:00,2025-09-21 10:20:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30271,Corral de Bustos Ifflinger BioagroindustriaCba,33.2,72,71.83,432,0.077,8.8,2025-09-18 10:40:00-03:00,2025-09-21 10:30:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30100,La Carlota BioagroindustriaCba,33.0,72,71.83,425,0.078,11.8,2025-09-18 10:40:00-03:00,2025-09-21 10:30:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30409,Paseo Sustentable Camilo Aldao BioagroindustriaCba,32.2,72,71.83,431,0.075,12.0,2025-09-18 10:40:00-03:00,2025-09-21 10:30:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30432,APRHi - Cabaña María Lucia (Leones Norte),30.95,72,71.83,432,0.072,9.7,2025-09-18 10:40:00-03:00,2025-09-21 10:30:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30071,Dean Funes BioagroindustriaCba,30.6,72,71.83,422,0.073,13.4,2025-09-18 10:50:00-03:00,2025-09-21 10:30:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30406,Saira BioagroindustriaCba,29.6,72,71.83,431,0.069,11.2,2025-09-18 10:40:00-03:00,2025-09-21 10:30:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30395,Esquina BioagroindustriaCba,28.2,72,71.83,431,0.065,7.8,2025-09-18 10:40:00-03:00,2025-09-21 10:30:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30401,Tancacha BioagroindustriaCba,26.6,72,71.83,430,0.062,11.2,2025-09-18 10:40:00-03:00,2025-09-21 10:30:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
30161,Chazon BioagroindustriaCba,26.0,72,71.83,430,0.06,4.4,2025-09-18 10:40:00-03:00,2025-09-21 10:30:00-03:00,2025-09-18 10:40:00,2025-09-21 10:30:00
