name,apirest_id,original_id,latitude,longitude
General Lavalle,90000000000000000162,DEM_GLEVAL13,-34.0,-63.9163
General Lavalle,900000000000000000162,DEM_GLEVAL13,-34.0,-63.9163
EPEC ZONA A,900000000000000000163,DEMANDA_ZONAA,-31.4072,-64.1832
San Agustin,900000000000000000132,DEM_SAGUST13,-31.9685126111111,-64.35292475
Carnerillo,900000000000000000049,UNDEFINED,-32.9025971388889,-64.0182171944444
Los Zorros AgriculturaCba,100000000000000030399,30399,-32.047509,-63.204665
APRHi - Cuenca  Alta Colanchanga,100000000000000030238,30238,-31.138923,-64.40179
Cassaffouth,900000000000000000050,UNDEFINED,-32.1757190277778,-64.3741747222222
San Antonio,900000000000000000133,DEM_SANTON13,-31.4655583333333,-64.5122982777778
SIP - Sistema Interconectado Provincial,900000000000000000168,DEMANDA_SIPv1,-31.4072,-64.1832
Colonia Cocha AgriculturaCba,100000000000000030297,30297,-31.947407,-63.930891
Aº El Aji - RN Nº35 y RN Nº7,400000000000000000643,643,-33.9311111111111,-64.3963888888889
APRHI - Rio San Antonio - Puente Juncal,100000000000000030391,30391,-31.4480344,-64.5157166
Bodega Piedra Mora AgriculturaCba,100000000000000030551,30551,-31.998173,-65.007596
SIPv2 - Sistema Interconectado Provincial,900000000000000000169,DEMANDA_SIP,-31.4072,-64.1832
APRHI - Dique Dumesnil,100000000000000030388,30388,-31.322124,-64.331071
EMA-Epec Carlos Paz,100000000000000030567,30652,-31.412335,-64.482895
APRHi - Canal 1 MI,100000000000000030186,30186,-30.754471,-64.796515
Cuarto - Tincunaco,400000000000000000443,443,-32.9033333333333,-64.7161111111111
EPEC-MALAGUEÑO,100000000000000030603,30603,-31.483333,-64.3486111
APRHi - Dique Embalse Río III,100000000000000030335,30335,-32.1785997,-64.423091
Dean Funes AgriculturaCba,100000000000000030071,30071,-30.4047,-64.354
San Basilio,900000000000000000134,DEM_SAMBAS13,-33.4994109166667,-64.2980729444444
Melo AgriculturaCba,100000000000000030102,30102,-34.3452,-63.4377
Villa Maria 132 KV,900000000000000000164,DEM_VMARIA132,-32.431358,-63.192639
APRHi - Canal Maestro - Villa de Soto,100000000000000030190,30190,-30.883594,-64.936524
San Francisco,900000000000000000135,DEM_SANFCO13,-31.4196667,-62.1123055
Cerro Pistarini,900000000000000000051,UNDEFINED,-32.2338076388889,-64.4425423611111
Chazon,900000000000000000052,DEM_CHAZON_13,-33.0839701111111,-63.2714445833333
Villa Maria 66 KV,900000000000000000165,DEM_VMARIA66,-32.431358,-63.192639
Villa Maria Norte 132 KV,900000000000000000166,DEM_VMARIN132,-32.379063,-63.239202
Villa Maria Isla Verde 66 KV,900000000000000000167,DEM_VMAR_IVER,-33.242452,-62.395217
San Ignacio,900000000000000000136,DEM_SIGNAC13,-32.1610453888889,-64.5144737222222
Chucul,900000000000000000053,UNDEFINED,-33.0012424166667,-64.1572329722222
San Jose de la Dormida,900000000000000000137,DEM_LADORMIDA13,-30.3609070833333,-63.9497075277778
Chuña,900000000000000000054,DEM_CHUNA13,-30.4799256111111,-64.6754161111111
San Marcos Sud,900000000000000000138,DEM_SMARCO13,-32.6304843888889,-62.4867866388889
Colonia Caroya,900000000000000000055,DEM_CAROYA13,-30.9914125555556,-64.0976543611111
El Galpón,200000000000000000500,500,-31.50805,-64.81999
Piquillín AgriculturaCba,100000000000000030556,30556,-31.301645,-63.753033
La Picasa - Obra Reg Nº1,400000000000000000628,628,-34.2619444444444,-63.3816666666667
APRHi - Colonia Hogar (Oeste),100000000000000030084,30084,-30.8514,-64.3423
San Pedro Norte AgriculturaCba,100000000000000030265,30265,-30.179069,-64.135069
La Casita,200000000000000000300,300,-31.48333,-64.74165
Ema Móvil - OHMC 30566,100000000000000030566,30566,-31.609772,-64.758865
APRHI - RPE56 - Los Molinos,100000000000000030228,30228,-31.835431,-64.38062
APRHi - Río San Guillermo (Dos Ríos),100000000000000030245,30245,-31.3164,-64.9038
La Playosa AgriculturaCba,100000000000000030283,30283,-32.099088,-63.032561
Despeñaderos AgriculturaCba,100000000000000030293,30293,-31.822272,-64.288433
APRHi - Dique Arroyo Corto,100000000000000030256,30256,-32.2262,-64.5734
El Fortín,100000000000000030305,30305,-31.9867,-62.2795
APRHi - Dique Piedras Moras,100000000000000030337,30337,-32.16701,-64.245372
Ministerio - Bioagroindustria,100000000000000030414,30414,-31.410936,-64.190519
Bo. El Canal,200000000000000000600,600,-31.44666,-64.51444
Cañada Larga (Copina),200000000000000000400,400,-31.57499,-64.71164
San Roque (Casabamba),900000000000000000139,DEM_SROQUE13,-31.3536861666667,-64.3934064444445
Quinto - R.N. 35,400000000000000000641,641,-34.2163888888889,-64.3861111111111
Coronel Moldes,900000000000000000056,DEM_MOLDES13,-33.6136569722222,-64.5885804166667
Bo. El canal,200000000000000000604,604,-31.44595,-64.51487
Santa Elena,900000000000000000140,DEM_SANTA_ELENA13,-30.1259468333333,-63.8438854722222
Cosquin,900000000000000000057,DEM_COSQUI13,-31.24162875,-64.4580535555556
Santa Rosa de Río Primero,900000000000000000141,DEM_SRIOPR13,-31.1562059444444,-63.4114691388889
Cruz del Eje,900000000000000000058,DEM_CRUEJE13,-30.7289214722222,-64.80083375
Quinto - Canal Devoto RP 4,400000000000000000642,642,-33.9330555555556,-63.4491666666667
Confluencia El Cajón,200000000000000000700,700,-31.48972,-64.63888
La Hoyada,200000000000000001400,1400,-31.35772,-64.69414
San Antonio de Arredondo-Aprhi,100000000000000030487,30487,-31.476917,-64.519317
